#Mes	Dia	Hora	DiaSemana	Estacion	Sentido	TipoVehiculo	FormaPago	CantidadPasos
1	1	2	3	3	1	2	106	4
1	1	2	3	3	2	1	101	698
1	1	2	3	3	2	1	103	5
1	1	2	3	3	2	1	104	25
1	1	2	3	3	2	1	105	14
1	1	2	3	3	2	1	106	317
1	1	2	3	3	2	2	101	2
1	1	2	3	3	2	2	102	1
1	1	2	3	3	2	2	106	10
1	1	2	3	4	1	1	101	769
1	1	2	3	4	1	1	102	11
1	1	2	3	4	1	1	103	1
1	1	2	3	4	1	1	104	6
1	1	2	3	4	1	1	105	8
1	1	2	3	4	1	1	106	712
1	1	2	3	4	1	2	101	7
1	1	2	3	4	1	2	103	1
1	1	2	3	4	1	2	106	4
1	1	2	3	4	2	1	101	597
1	1	2	3	4	2	1	102	15
1	1	2	3	4	2	1	103	4
1	1	2	3	4	2	1	104	6
1	1	2	3	4	2	1	105	1
1	1	2	3	4	2	1	106	476
1	1	2	3	4	2	2	101	7
1	1	2	3	4	2	2	104	3
1	1	2	3	4	2	2	106	2
1	1	2	3	6	2	1	101	18
1	1	2	3	6	2	1	103	1
1	1	2	3	6	2	1	106	4
1	1	2	3	6	2	2	101	1
1	1	2	3	7	2	1	104	16
1	1	2	3	7	2	1	106	31
1	1	2	3	8	2	1	104	11
1	1	2	3	8	2	1	106	26
1	1	3	3	1	1	1	101	40
1	1	3	3	1	1	1	103	1
1	1	3	3	1	1	1	104	8
1	1	3	3	1	1	1	106	30
1	1	3	3	1	1	2	102	2
1	1	3	3	1	2	1	101	172
1	1	3	3	1	2	1	103	1
1	1	3	3	1	2	1	104	2
1	1	3	3	1	2	1	105	4
1	1	3	3	1	2	1	106	121
1	1	3	3	1	2	2	101	1
1	1	3	3	1	2	2	102	1
1	1	3	3	2	1	1	101	1310
1	1	3	3	2	1	1	102	53
1	1	3	3	2	1	1	103	17
1	1	3	3	2	1	1	104	132
1	1	3	3	2	1	1	105	29
1	1	3	3	2	1	1	106	914
1	1	3	3	2	1	2	101	7
1	1	3	3	2	1	2	102	1
1	1	3	3	2	1	2	106	11
1	1	3	3	2	2	1	101	1040
1	1	3	3	2	2	1	102	14
1	1	3	3	2	2	1	103	7
1	1	3	3	2	2	1	104	14
1	1	3	3	2	2	1	105	15
1	1	3	3	2	2	1	106	661
1	1	3	3	2	2	2	101	2
1	1	3	3	2	2	2	102	1
1	1	3	3	2	2	2	106	4
1	1	3	3	3	1	1	101	860
1	1	3	3	3	1	1	102	6
1	1	3	3	3	1	1	103	11
1	1	3	3	3	1	1	104	47
1	1	3	3	3	1	1	105	15
1	1	3	3	3	1	1	106	486
1	1	3	3	3	1	2	101	12
1	1	3	3	3	1	2	102	1
1	1	3	3	3	1	2	106	5
1	1	3	3	3	2	1	101	566
1	1	3	3	3	2	1	102	5
1	1	3	3	3	2	1	103	4
1	1	3	3	3	2	1	104	20
1	1	3	3	3	2	1	105	9
1	1	3	3	3	2	1	106	227
1	1	3	3	3	2	2	101	4
1	1	3	3	3	2	2	102	1
1	1	3	3	3	2	2	106	5
1	1	3	3	4	1	1	101	597
1	1	3	3	4	1	1	102	6
1	1	3	3	4	1	1	103	6
1	1	3	3	4	1	1	104	4
1	1	3	3	4	1	1	105	5
1	1	3	3	4	1	1	106	447
1	1	3	3	4	1	2	102	1
1	1	3	3	4	1	2	106	2
1	1	3	3	4	2	1	101	425
1	1	3	3	4	2	1	102	17
1	1	3	3	4	2	1	103	3
1	1	3	3	4	2	1	104	7
1	1	3	3	4	2	1	106	311
1	1	3	3	4	2	2	104	2
1	1	3	3	6	2	1	101	12
1	1	3	3	6	2	1	106	1
1	1	3	3	6	2	2	102	1
1	1	3	3	7	2	1	104	13
1	1	3	3	7	2	1	106	13
1	1	3	3	8	2	1	104	12
1	1	3	3	8	2	1	106	12
1	1	4	3	1	1	1	101	28
1	1	4	3	1	1	1	104	1
1	1	4	3	1	1	1	105	1
1	1	4	3	1	1	1	106	19
1	1	4	3	1	1	2	102	2
1	1	4	3	1	2	1	101	101
1	1	4	3	1	2	1	102	1
1	1	4	3	1	2	1	103	1
1	1	4	3	1	2	1	105	2
1	1	4	3	1	2	1	106	59
1	1	4	3	2	1	1	101	882
1	1	4	3	2	1	1	102	9
1	1	4	3	2	1	1	103	5
1	1	4	3	2	1	1	104	23
1	1	4	3	2	1	1	105	13
1	1	4	3	2	1	1	106	443
1	1	4	3	2	1	2	101	3
1	1	4	3	2	1	2	102	1
1	1	4	3	2	1	2	106	6
1	1	4	3	2	2	1	101	592
1	1	4	3	2	2	1	102	6
1	1	4	3	2	2	1	103	4
1	1	4	3	2	2	1	104	6
1	1	4	3	2	2	1	105	4
1	1	4	3	2	2	1	106	311
1	1	4	3	2	2	2	101	4
1	1	4	3	2	2	2	106	8
1	1	4	3	3	1	1	101	535
1	1	4	3	3	1	1	102	5
1	1	4	3	3	1	1	103	6
1	1	4	3	3	1	1	104	5
1	1	4	3	3	1	1	105	8
1	1	4	3	3	1	1	106	233
1	1	4	3	3	1	2	101	5
1	1	4	3	3	1	2	106	5
1	1	4	3	3	2	1	101	368
1	1	4	3	3	2	1	102	2
1	1	4	3	3	2	1	103	6
1	1	4	3	3	2	1	104	10
1	1	4	3	3	2	1	105	6
1	1	4	3	3	2	1	106	133
1	1	4	3	3	2	2	106	6
1	1	4	3	4	1	1	101	319
1	1	4	3	4	1	1	103	1
1	1	4	3	4	1	1	104	3
1	1	4	3	4	1	1	105	4
1	1	4	3	4	1	1	106	200
1	1	4	3	4	1	2	101	1
1	1	4	3	4	1	2	106	3
1	1	4	3	4	2	1	101	256
1	1	4	3	4	2	1	102	6
1	1	4	3	4	2	1	103	3
1	1	4	3	4	2	1	104	2
1	1	4	3	4	2	1	105	2
1	1	4	3	4	2	1	106	151
1	1	4	3	4	2	2	106	2
1	1	4	3	6	2	1	101	5
1	1	4	3	6	2	1	106	2
1	1	4	3	6	2	2	102	1
1	1	4	3	7	2	1	104	9
1	1	4	3	7	2	1	106	10
1	1	4	3	8	2	1	104	6
1	1	4	3	8	2	1	106	9
1	1	5	3	1	1	1	101	16
1	1	5	3	1	1	1	102	1
1	1	5	3	1	1	1	106	10
1	1	5	3	1	1	2	101	1
1	1	5	3	1	2	1	101	76
1	1	5	3	1	2	1	102	2
1	1	5	3	1	2	1	103	1
1	1	5	3	1	2	1	106	35
1	1	5	3	1	2	2	102	2
1	1	5	3	2	1	1	101	711
1	1	5	3	2	1	1	102	5
1	1	5	3	2	1	1	103	10
1	1	5	3	2	1	1	104	23
1	1	5	3	2	1	1	105	7
1	1	5	3	2	1	1	106	354
1	1	5	3	2	1	2	101	5
1	1	5	3	2	1	2	102	6
1	1	5	3	2	1	2	106	5
1	1	5	3	2	2	1	101	428
1	1	5	3	2	2	1	102	6
1	1	5	3	2	2	1	103	8
1	1	5	3	2	2	1	104	10
1	1	5	3	2	2	1	105	9
1	1	5	3	2	2	1	106	210
1	1	5	3	2	2	2	101	4
1	1	5	3	2	2	2	102	2
1	1	5	3	2	2	2	103	1
1	1	5	3	2	2	2	104	1
1	1	5	3	2	2	2	106	10
1	1	5	3	3	1	1	101	572
1	1	5	3	3	1	1	102	7
1	1	5	3	3	1	1	103	5
1	1	5	3	3	1	1	104	6
1	1	5	3	3	1	1	105	2
1	1	5	3	3	1	1	106	233
1	1	5	3	3	1	2	101	8
1	1	5	3	3	1	2	102	5
1	1	5	3	3	1	2	106	7
1	1	5	3	3	2	1	101	373
1	1	5	3	3	2	1	102	7
1	1	5	3	3	2	1	103	4
1	1	5	3	3	2	1	104	5
1	1	5	3	3	2	1	105	5
1	1	5	3	3	2	1	106	122
1	1	5	3	3	2	2	101	3
1	1	5	3	3	2	2	102	2
1	1	5	3	3	2	2	105	1
1	1	5	3	3	2	2	106	13
1	1	5	3	4	1	1	101	362
1	1	5	3	4	1	1	102	3
1	1	5	3	4	1	1	103	3
